"legacy_id","source_path","redirect_status","target_path","planned_response","query_policy","target_hint","notes"
"P032","/newsletter","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","NEWSLETTER_ARCHIVE","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"P033","/copy-of-blog","MERGE_REQUIRED","","301","ALLOWLIST_MARKETING","COMMUNICATIONS_COPY_ARTIFACT","Merge any approved value into COMMUNICATIONS_COPY_ARTIFACT; set the final greenfield target after IA review."
"P034","/copy-of-newsletter","MERGE_REQUIRED","","301","ALLOWLIST_MARKETING","NEWSLETTER_COPY_ARTIFACT","Merge any approved value into NEWSLETTER_COPY_ARTIFACT; set the final greenfield target after IA review."
"P035","/copy-of-bourbon-blueprint-rules","MERGE_REQUIRED","","301","ALLOWLIST_MARKETING","EVENT_COPY_ARTIFACT","Merge any approved value into EVENT_COPY_ARTIFACT; set the final greenfield target after IA review."
"P036","/giftinkind","DECISION_REQUIRED","","301_OR_410","ALLOWLIST_MARKETING","GIFT_IN_KIND","Complete the stated factual legal privacy or dependency check before assigning a greenfield target."
"B001","/post/habitat-skydive-2022","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","EVENT_HISTORY","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B002","/post/hab-o-ween","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","EVENT_HISTORY","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B003","/post/st-james-holy-smokers-donate-to-fchfh","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","PARTNER_HISTORY","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"B004","/post/habitat-casino-night-fundraiser-1","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","EVENT_HISTORY","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B005","/post/why-sweat-equity-matters-building-more-than-just-homes","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","EVERGREEN_EDUCATION","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"B006","/post/matching-fund-campaign-underway-for-fayette-county-habitat-for-humanity","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","CAMPAIGN_HISTORY","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B007","/post/join-the-construction-committee-help-build-homes-and-hope-in-fayette-county","DECISION_REQUIRED","","301_OR_410","ALLOWLIST_MARKETING","VOLUNTEER_RECRUITMENT","Complete the stated factual legal privacy or dependency check before assigning a greenfield target."
"B008","/post/habitat-christmas-coloring-contest-1","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","EVENT_HISTORY","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B009","/post/new-project-announcement-camp-st-cottages","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","PROJECT_HISTORY","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"B010","/post/habitat-paint-day-a-huge-success","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","PROJECT_HISTORY","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"B011","/post/hostyn-catholic-youth-host-pancake-supper-for-habitat","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","PARTNER_HISTORY","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"B012","/post/hab-o-ween-laser-tag","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","EVENT_HISTORY","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B013","/post/christmas-card-coloring-contest-winners","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","EVENT_RESULTS","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B014","/post/jill-stueber-casserole-fundraiser-for-habitat","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","CAMPAIGN_HISTORY","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B015","/post/cisneros-vlasac-close-on-new-home","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","PROJECT_HISTORY","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"B016","/post/hab-o-ween-volunteers-needed","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","VOLUNTEER_HISTORY","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B017","/post/habitat-helps-out-at-st-james-episcopal-church","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","PARTNER_HISTORY","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"B018","/post/habitat-casino-night-fundraiser","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","EVENT_HISTORY","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B019","/post/second-chance-emporium-donates-to-fchfh","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","PARTNER_HISTORY","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"B020","/post/hab-o-ween-laser-tag-signup","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","EVENT_HISTORY","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B021","/post/wright-home-update","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","PROJECT_HISTORY","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"B022","/post/building-futures-why-your-donation-makes-a-lasting-impact","DECISION_REQUIRED","","301_OR_410","ALLOWLIST_MARKETING","EVERGREEN_EDUCATION","Complete the stated factual legal privacy or dependency check before assigning a greenfield target."
"B023","/post/fayette-county-habitat-housing-survey-2020","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","IMPACT_EVIDENCE","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"B024","/post/support-habitat-skydivers","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","CAMPAIGN_HISTORY","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B025","/post/habitat-christmas-coloring-contest","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","EVENT_HISTORY","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B026","/post/building-a-home-building-a-future-donations-at-work-for-the-wright-family","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","PROJECT_HISTORY","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"B027","/post/fayetteville-bank-donates-1-000","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","PARTNER_HISTORY","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"B028","/post/the-habitat-gambit-chess-tournament","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","EVENT_HISTORY","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B029","/post/first-coat-of-paint-goes-on-despite-weather","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","PROJECT_HISTORY","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"B030","/post/habitat-small-business-passport-available-for-pre-order","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","CAMPAIGN_HISTORY","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B031","/post/2x4-season-begins","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","CAMPAIGN_HISTORY","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B032","/post/fayette-county-habitat-partners-with-boys-girls-club-in-schulenburg","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","PARTNER_HISTORY","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"B033","/post/join-habitat-for-skydive-2023","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","EVENT_HISTORY","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B034","/post/donate-your-old-car-how-vehicle-donations-fuel-habitat-projects","DECISION_REQUIRED","","301_OR_410","ALLOWLIST_MARKETING","EVERGREEN_EDUCATION","Complete the stated factual legal privacy or dependency check before assigning a greenfield target."
"B035","/post/habitat-bourbon-raffle","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","EVENT_HISTORY","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B036","/post/habitat-for-humanity-texas-names-kenny-couch-the-affiliate-volunteer-of-the-year","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","PEOPLE_HISTORY","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"B037","/post/fayette-county-habitat-for-humanity-selects-partner-family-for-new-home-build","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","PROJECT_HISTORY","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"B038","/post/tamu-partners-with-fchfh-for-impact-study","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","IMPACT_EVIDENCE","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"B039","/post/skydiving-schedule","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","EVENT_HISTORY","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B040","/post/jimmy-s-bock-release-party","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","EVENT_HISTORY","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B041","/post/habitat-christmas-coloring-contest-2","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","EVENT_HISTORY","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B042","/post/family-selection-begins-for-fayette-county-habitat-1","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","APPLICATION_NOTICE","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B043","/post/young-neighbors-in-action-donates-to-fchfh","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","PARTNER_HISTORY","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"B044","/post/habitat-skydive-eventapril-17th","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","EVENT_HISTORY","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B045","/post/join-a-habitat-committee-how-you-can-shape-the-future-of-affordable-housing","DECISION_REQUIRED","","301_OR_410","ALLOWLIST_MARKETING","VOLUNTEER_RECRUITMENT","Complete the stated factual legal privacy or dependency check before assigning a greenfield target."
"B046","/post/family-selection-begins-for-fayette-county-habitat","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","APPLICATION_NOTICE","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B047","/post/the-power-of-a-monthly-donation-changing-lives-year-round","DECISION_REQUIRED","","301_OR_410","ALLOWLIST_MARKETING","EVERGREEN_EDUCATION","Complete the stated factual legal privacy or dependency check before assigning a greenfield target."
"B048","/post/building-more-than-homes-how-habitat-improves-our-community-beyond-housing","DECISION_REQUIRED","","301_OR_410","ALLOWLIST_MARKETING","EVERGREEN_EDUCATION","Complete the stated factual legal privacy or dependency check before assigning a greenfield target."
"B049","/post/habitat-announces-first-keystone-partner","TARGET_REQUIRED","","301","ALLOWLIST_MARKETING","PARTNER_HISTORY","Assign only after greenfield IA defines the semantically equivalent destination; do not inherit this slug by default."
"B050","/post/test-3","GONE","","410","DROP_ALL","TEST_CONTENT","No enduring value; return 410 after final analytics and backlink review."
"B051","/post/jill-stueber-casserole-fundraiser","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","CAMPAIGN_HISTORY","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B052","/post/habitat-skydive-2022-jump-schedule","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","EVENT_HISTORY","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"B053","/post/bourbon-raffle-winners-announced","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","EVENT_RESULTS","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
"C001","/blog/categories/getting-started","GONE","","410","DROP_ALL","LEGACY_CATEGORY","No enduring value; return 410 after final analytics and backlink review."
"C002","/blog/categories/your-community","ARCHIVE_DECISION","","301_OR_410","ALLOWLIST_MARKETING","LEGACY_CATEGORY","Choose a semantically equivalent retained record or 410; never redirect unrelated content to the homepage."
