"legacy_id","source_kind","legacy_url","sitemap_sources","sitemap_last_modified","disposition","content_value","risk_flags","decision_basis"
"B017","POST","https://www.fchfh.org/post/habitat-helps-out-at-st-james-episcopal-church","BLOG_POSTS_SITEMAP","2024-01-27","MIGRATE_SELECTED","PARTNER_HISTORY","PARTNER_PERMISSION|PHOTO_CONSENT","Valuable service and partner history subject to permissions."
"B018","POST","https://www.fchfh.org/post/habitat-casino-night-fundraiser","BLOG_POSTS_SITEMAP","2024-09-20","ARCHIVE","EVENT_HISTORY","STALE_EVENT","Preserve the dated event edition."
"B019","POST","https://www.fchfh.org/post/second-chance-emporium-donates-to-fchfh","BLOG_POSTS_SITEMAP","2019-01-19","MIGRATE_SELECTED","PARTNER_HISTORY","PARTNER_PERMISSION|PHOTO_CONSENT","Valuable partner history subject to attribution and media rights."
"B020","POST","https://www.fchfh.org/post/hab-o-ween-laser-tag-signup","BLOG_POSTS_SITEMAP","2021-10-25","ARCHIVE","EVENT_HISTORY","STALE_EVENT","Preserve dated event history; remove obsolete signup action."
"B021","POST","https://www.fchfh.org/post/wright-home-update","BLOG_POSTS_SITEMAP","2025-02-15","MIGRATE_SELECTED","PROJECT_HISTORY","PRIVACY_REVIEW|PARTICIPANT_CONSENT","Valuable project history subject to household privacy and publication consent."
"B022","POST","https://www.fchfh.org/post/building-futures-why-your-donation-makes-a-lasting-impact","BLOG_POSTS_SITEMAP","2025-03-03","VERIFY","EVERGREEN_EDUCATION","DONATION_CLAIMS","Verify fundraising and impact claims before selective reuse."
"B023","POST","https://www.fchfh.org/post/fayette-county-habitat-housing-survey-2020","BLOG_POSTS_SITEMAP","2020-08-04","MIGRATE_SELECTED","IMPACT_EVIDENCE","METHODOLOGY_VERIFY","Preserve survey evidence with methodology provenance and dated context."
"B024","POST","https://www.fchfh.org/post/support-habitat-skydivers","BLOG_POSTS_SITEMAP","2021-03-13","ARCHIVE","CAMPAIGN_HISTORY","STALE_CAMPAIGN","Preserve dated campaign history; remove obsolete donation action."
"B025","POST","https://www.fchfh.org/post/habitat-christmas-coloring-contest","BLOG_POSTS_SITEMAP","2020-12-01","ARCHIVE","EVENT_HISTORY","STALE_EVENT|MINOR_CONSENT","Preserve dated contest history with child-media consent review."
"B026","POST","https://www.fchfh.org/post/building-a-home-building-a-future-donations-at-work-for-the-wright-family","BLOG_POSTS_SITEMAP","2025-03-10","MIGRATE_SELECTED","PROJECT_HISTORY","PRIVACY_REVIEW|PARTICIPANT_CONSENT|DONATION_CLAIMS","Valuable impact story subject to household consent and claim verification."
"B027","POST","https://www.fchfh.org/post/fayetteville-bank-donates-1-000","BLOG_POSTS_SITEMAP","2020-01-15","MIGRATE_SELECTED","PARTNER_HISTORY","PARTNER_PERMISSION|PHOTO_CONSENT","Valuable partner history subject to attribution and media rights."
"B028","POST","https://www.fchfh.org/post/the-habitat-gambit-chess-tournament","BLOG_POSTS_SITEMAP","2023-03-31","ARCHIVE","EVENT_HISTORY","STALE_EVENT","Preserve dated event history."
"B029","POST","https://www.fchfh.org/post/first-coat-of-paint-goes-on-despite-weather","BLOG_POSTS_SITEMAP","2018-11-11","MIGRATE_SELECTED","PROJECT_HISTORY","PHOTO_CONSENT","Valuable build history subject to media consent."
"B030","POST","https://www.fchfh.org/post/habitat-small-business-passport-available-for-pre-order","BLOG_POSTS_SITEMAP","2025-06-04","ARCHIVE","CAMPAIGN_HISTORY","STALE_CAMPAIGN","Preserve dated campaign history; remove obsolete preorder action."
"B031","POST","https://www.fchfh.org/post/2x4-season-begins","BLOG_POSTS_SITEMAP","2023-08-02","ARCHIVE","CAMPAIGN_HISTORY","STALE_CAMPAIGN","Preserve dated campaign history."
"B032","POST","https://www.fchfh.org/post/fayette-county-habitat-partners-with-boys-girls-club-in-schulenburg","BLOG_POSTS_SITEMAP","2019-10-30","MIGRATE_SELECTED","PARTNER_HISTORY","MINOR_CONSENT|PARTNER_PERMISSION","Valuable partnership history subject to minor and partner permissions."
"B033","POST","https://www.fchfh.org/post/join-habitat-for-skydive-2023","BLOG_POSTS_SITEMAP","2023-02-14","ARCHIVE","EVENT_HISTORY","STALE_EVENT","Preserve dated event history; remove obsolete registration action."
"B034","POST","https://www.fchfh.org/post/donate-your-old-car-how-vehicle-donations-fuel-habitat-projects","BLOG_POSTS_SITEMAP","2025-02-24","VERIFY","EVERGREEN_EDUCATION","EXTERNAL_DEPENDENCY|DONATION_CLAIMS","Verify program claims and replace the session-tracked Cars for Homes URL with a clean supported link."
"B035","POST","https://www.fchfh.org/post/habitat-bourbon-raffle","BLOG_POSTS_SITEMAP","2026-05-12","ARCHIVE","EVENT_HISTORY","RAFFLE_LEGAL|STALE_EVENT","Preserve dated raffle evidence with legal review and final results."
"B036","POST","https://www.fchfh.org/post/habitat-for-humanity-texas-names-kenny-couch-the-affiliate-volunteer-of-the-year","BLOG_POSTS_SITEMAP","2019-09-27","MIGRATE_SELECTED","PEOPLE_HISTORY","PHOTO_CONSENT|SOURCE_VERIFY","Valuable recognition history subject to source and media verification."
"B037","POST","https://www.fchfh.org/post/fayette-county-habitat-for-humanity-selects-partner-family-for-new-home-build","BLOG_POSTS_SITEMAP","2023-07-24","MIGRATE_SELECTED","PROJECT_HISTORY","PRIVACY_REVIEW|PARTICIPANT_CONSENT","Valuable project history subject to household privacy and consent."
"B038","POST","https://www.fchfh.org/post/tamu-partners-with-fchfh-for-impact-study","BLOG_POSTS_SITEMAP","2019-04-25","MIGRATE_SELECTED","IMPACT_EVIDENCE","PARTNER_PERMISSION|METHODOLOGY_VERIFY","Valuable impact and research evidence subject to partner attribution and methodology."
"B039","POST","https://www.fchfh.org/post/skydiving-schedule","BLOG_POSTS_SITEMAP","2021-04-13","ARCHIVE","EVENT_HISTORY","STALE_EVENT","Preserve dated event schedule only as history."
"B040","POST","https://www.fchfh.org/post/jimmy-s-bock-release-party","BLOG_POSTS_SITEMAP","2023-10-26","ARCHIVE","EVENT_HISTORY","STALE_EVENT","Preserve dated event and partner history."
"B041","POST","https://www.fchfh.org/post/habitat-christmas-coloring-contest-2","BLOG_POSTS_SITEMAP","2023-10-09","ARCHIVE","EVENT_HISTORY","STALE_EVENT|MINOR_CONSENT","Preserve dated contest history with child-media consent review."
"B042","POST","https://www.fchfh.org/post/family-selection-begins-for-fayette-county-habitat-1","BLOG_POSTS_SITEMAP","2022-09-13","ARCHIVE","APPLICATION_NOTICE","STALE_APPLICATION|PRIVACY_REVIEW","Preserve dated notice as institutional history; do not reuse obsolete intake instructions."
"B043","POST","https://www.fchfh.org/post/young-neighbors-in-action-donates-to-fchfh","BLOG_POSTS_SITEMAP","2019-01-05","MIGRATE_SELECTED","PARTNER_HISTORY","MINOR_CONSENT|PARTNER_PERMISSION","Valuable community partnership history subject to minor and partner permissions."
"B044","POST","https://www.fchfh.org/post/habitat-skydive-eventapril-17th","BLOG_POSTS_SITEMAP","2021-03-24","ARCHIVE","EVENT_HISTORY","STALE_EVENT","Preserve dated event history."
"B045","POST","https://www.fchfh.org/post/join-a-habitat-committee-how-you-can-shape-the-future-of-affordable-housing","BLOG_POSTS_SITEMAP","2025-03-31","VERIFY","VOLUNTEER_RECRUITMENT","HUMAN_VERIFY|PHOTO_CONSENT","Verify committee structure and current recruitment details before reuse."
"B046","POST","https://www.fchfh.org/post/family-selection-begins-for-fayette-county-habitat","BLOG_POSTS_SITEMAP","2020-01-31","ARCHIVE","APPLICATION_NOTICE","STALE_APPLICATION|PRIVACY_REVIEW","Preserve dated notice as institutional history; do not reuse obsolete intake instructions."
"B047","POST","https://www.fchfh.org/post/the-power-of-a-monthly-donation-changing-lives-year-round","BLOG_POSTS_SITEMAP","2025-02-14","VERIFY","EVERGREEN_EDUCATION","DONATION_CLAIMS|EXTERNAL_DEPENDENCY","Verify recurring-giving claims and supported DonorView destination before reuse."
"B048","POST","https://www.fchfh.org/post/building-more-than-homes-how-habitat-improves-our-community-beyond-housing","BLOG_POSTS_SITEMAP","2025-02-17","VERIFY","EVERGREEN_EDUCATION","IMPACT_CLAIMS","Verify all impact claims and attribution before reuse."
"B049","POST","https://www.fchfh.org/post/habitat-announces-first-keystone-partner","BLOG_POSTS_SITEMAP","2020-12-01","MIGRATE_SELECTED","PARTNER_HISTORY","PARTNER_PERMISSION|SOURCE_VERIFY","Valuable partner milestone subject to attribution and current recognition permission."
"B050","POST","https://www.fchfh.org/post/test-3","BLOG_POSTS_SITEMAP","2018-10-16","RETIRE","TEST_CONTENT","LOW_VALUE","Confirmed test content with no enduring migration value."
"B051","POST","https://www.fchfh.org/post/jill-stueber-casserole-fundraiser","BLOG_POSTS_SITEMAP","2023-04-04","ARCHIVE","CAMPAIGN_HISTORY","STALE_CAMPAIGN","Preserve dated fundraiser history; remove obsolete transaction action."
"B052","POST","https://www.fchfh.org/post/habitat-skydive-2022-jump-schedule","BLOG_POSTS_SITEMAP","2022-04-19","ARCHIVE","EVENT_HISTORY","STALE_EVENT","Preserve dated event schedule only as history."
"B053","POST","https://www.fchfh.org/post/bourbon-raffle-winners-announced","BLOG_POSTS_SITEMAP","2026-05-25","ARCHIVE","EVENT_RESULTS","RAFFLE_LEGAL|STALE_EVENT","Preserve dated results as legal and event evidence after review."
"C001","CATEGORY_INDEX","https://www.fchfh.org/blog/categories/getting-started","BLOG_CATEGORIES_SITEMAP","2020-07-23","RETIRE","LEGACY_CATEGORY","LEGACY_TAXONOMY|LOW_VALUE","Retire the generic Wix category; it does not define the new taxonomy."
"C002","CATEGORY_INDEX","https://www.fchfh.org/blog/categories/your-community","BLOG_CATEGORIES_SITEMAP","2020-07-23","ARCHIVE","LEGACY_CATEGORY","LEGACY_TAXONOMY","Retain only as evidence for classifying selected content; do not reproduce the taxonomy automatically."
